monitor/mean_contact_stability,monitor/num_episodes,monitor/grasp_rate,monitor/mean_reward,monitor/settle_rate,monitor/threshold_cross_rate,monitor/mean_episode_length,monitor/mean_best_goal_distance_xy,monitor/release_rate,monitor/near_success_rate,monitor/lifted_grasp_rate,monitor/mean_dual_contact_stability,monitor/transport_ready_rate,monitor/mean_goal_distance_xy,monitor/placement_rate,monitor/termination_time_limit,monitor/mean_max_lift_height,monitor/mean_best_success_streak,monitor/success_rate,monitor/over_goal_rate,validation/mean_best_goal_distance_xy,validation/mean_contact_stability,validation/transport_ready_rate,validation/settle_rate,validation/mean_max_lift_height,validation/mean_goal_distance_xy,validation/threshold_cross_rate,validation/release_rate,validation/near_success_rate,validation/mean_best_success_streak,validation/mean_reward,validation/grasp_rate,validation/mean_episode_length,validation/num_episodes,validation/mean_dual_contact_stability,validation/lifted_grasp_rate,validation/over_goal_rate,validation/success_rate,validation/placement_rate,validation/termination_time_limit,train/learning_rate,train/ent_coef,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef_loss,monitor/termination_dropped,validation/termination_dropped
0.0,20,0.0,-0.06031717227052171,0.0,0.0,250.0,0.34459338968657677,0.0,0.0,0.0,0.0,0.0,0.34459338968657677,0.0,20.0,0.03,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.34033391936865287,0.0,0.0,0.0,0.03,0.34033391936865287,0.0,0.0,0.0,0.0,-0.06575928650729036,0.0,250.0,100,0.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,
0.0,20,0.0,-0.08686689197557197,0.0,0.0,250.0,0.34459338968657677,0.0,0.0,0.0,0.0,0.0,0.34459338968657677,0.0,20.0,0.03,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0003,0.6873891353607178,1250,-14.187862396240234,0.08418728411197662,-2.5192906856536865,,
,,,,,,,,,,,,,,,,,,,,0.34033391936865287,0.0,0.0,0.0,0.03,0.34033391936865287,0.0,0.0,0.0,0.0,-0.09262911822139726,0.0,250.0,100,0.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,
0.0,20,0.0,0.10601315545236338,0.0,0.0,250.0,0.34459338968657677,0.0,0.0,0.0,0.0,0.0,0.34459338968657677,0.0,20.0,0.03,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0003,0.3679003417491913,3334,-23.605052947998047,0.034523651003837585,-6.727040767669678,,
,,,,,,,,,,,,,,,,,,,,0.3403337592316732,0.00012,0.0,0.0,0.03000168941650072,0.34033458787152726,0.0,0.0,0.0,0.0,0.10963904194810721,0.0,250.0,100,0.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,
0.0054,20,0.0,0.4402382894808194,0.0,0.0,250.0,0.34459338968657677,0.0,0.0,0.0,0.0,0.0,0.3502136059745178,0.0,20.0,0.030976685958279074,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0003,0.19701820611953735,5418,-26.619251251220703,0.14163385331630707,-10.867518424987793,,
,,,,,,,,,,,,,,,,,,,,0.3403308223496358,0.01568,0.07,0.0,0.039406635942698956,0.35726473779667123,0.0,0.0,0.0,0.0,0.9824843954644862,0.14,250.0,100,0.00756,0.09,0.0,0.0,0.0,100.0,,,,,,,,
0.2624,20,0.5,0.1630279939059668,0.0,0.0,250.0,0.34459338968657677,0.0,0.0,0.0,0.1226,0.0,0.3755761214105795,0.0,20.0,0.030332043028804077,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0003,0.10563701391220093,7502,-26.50446319580078,0.012106564827263355,-14.9307222366333,,
,,,,,,,,,,,,,,,,,,,,0.34033203064251616,0.28696,0.0,0.0,0.030452091156082634,0.3768529750886105,0.0,0.0,0.0,0.0,0.1169447340310115,0.56,250.0,100,0.16432,0.0,0.0,0.0,0.0,100.0,,,,,,,,
