monitor/over_goal_rate,monitor/grasp_rate,monitor/mean_best_success_streak,monitor/transport_ready_rate,monitor/num_episodes,monitor/mean_contact_stability,monitor/termination_time_limit,monitor/lifted_grasp_rate,monitor/threshold_cross_rate,monitor/mean_best_goal_distance_xy,monitor/near_success_rate,monitor/success_rate,monitor/mean_dual_contact_stability,monitor/mean_reward,monitor/release_rate,monitor/mean_episode_length,monitor/placement_rate,monitor/mean_max_lift_height,monitor/settle_rate,monitor/mean_goal_distance_xy,validation/over_goal_rate,validation/release_rate,validation/mean_reward,validation/num_episodes,validation/mean_best_goal_distance_xy,validation/mean_best_success_streak,validation/grasp_rate,validation/success_rate,validation/near_success_rate,validation/transport_ready_rate,validation/mean_dual_contact_stability,validation/threshold_cross_rate,validation/mean_goal_distance_xy,validation/settle_rate,validation/mean_contact_stability,validation/lifted_grasp_rate,validation/mean_max_lift_height,validation/termination_time_limit,validation/mean_episode_length,validation/placement_rate,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/ent_coef,train/learning_rate,train/n_updates,monitor/termination_dropped,validation/termination_dropped
0.0,0.0,0.0,0.0,20,0.0,20.0,0.0,0.0,0.34459338968657677,0.0,0.0,0.0,-0.06031717227052171,0.0,250.0,0.0,0.03,0.0,0.34459338968657677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,-0.06575928650729036,100,0.34033391936865287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34033391936865287,0.0,0.0,0.0,0.03,100.0,250.0,0.0,,,,,,,,
0.0,0.0,0.0,0.0,20,0.0,20.0,0.0,0.0,0.34459338968657677,0.0,0.0,0.0,-0.08686689197557197,0.0,250.0,0.0,0.03,0.0,0.34459338968657677,,,,,,,,,,,,,,,,,,,,,-2.5192906856536865,0.08418728411197662,-14.187862396240234,0.6873891353607178,0.0003,1250,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,-0.09262911822139726,100,0.34033391936865287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34033391936865287,0.0,0.0,0.0,0.03,100.0,250.0,0.0,,,,,,,,
0.0,0.0,0.0,0.0,20,0.0,20.0,0.0,0.0,0.34459338968657677,0.0,0.0,0.0,0.10601315545236338,0.0,250.0,0.0,0.03,0.0,0.34459338968657677,,,,,,,,,,,,,,,,,,,,,-6.727040767669678,0.034523651003837585,-23.605052947998047,0.3679003417491913,0.0003,3334,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.10963904194810721,100,0.3403337592316732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34033458787152726,0.0,0.00012,0.0,0.03000168941650072,100.0,250.0,0.0,,,,,,,,
0.0,0.0,0.0,0.0,20,0.0054,20.0,0.0,0.0,0.34459338968657677,0.0,0.0,0.0,0.4402382894808194,0.0,250.0,0.0,0.030976685958279074,0.0,0.3502136059745178,,,,,,,,,,,,,,,,,,,,,-10.867518424987793,0.14163385331630707,-26.619251251220703,0.19701820611953735,0.0003,5418,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.9824843954644862,100,0.3403308223496358,0.0,0.14,0.0,0.0,0.07,0.00756,0.0,0.35726473779667123,0.0,0.01568,0.09,0.039406635942698956,100.0,250.0,0.0,,,,,,,,
0.0,0.5,0.0,0.0,20,0.2624,20.0,0.0,0.0,0.34459338968657677,0.0,0.0,0.1226,0.1630279939059668,0.0,250.0,0.0,0.030332043028804077,0.0,0.3755761214105795,,,,,,,,,,,,,,,,,,,,,-14.9307222366333,0.012106564827263355,-26.50446319580078,0.10563701391220093,0.0003,7502,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.1169447340310115,100,0.34033203064251616,0.0,0.56,0.0,0.0,0.0,0.16432,0.0,0.3768529750886105,0.0,0.28696,0.0,0.030452091156082634,100.0,250.0,0.0,,,,,,,,
0.0,0.35,0.0,0.1,20,0.03346206896551724,19.0,0.1,0.0,0.34175132181045315,0.0,0.0,0.0118,0.15596458467363125,0.0,249.1,0.0,0.04192624608245104,0.0,0.4183700939917321,,,,,,,,,,,,,,,,,,,,,-18.358196258544922,0.037402424961328506,-24.499839782714844,0.0568455345928669,0.0003,9586,1.0,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,-0.5035500926023985,100,0.3389022879611269,0.0,0.28,0.0,0.0,0.01,0.01236,0.0,0.3802320357914524,0.0,0.02680053182029894,0.01,0.03548060932656898,98.0,249.35,0.0,,,,,,,,2.0
0.0,0.0,0.0,0.0,20,0.0102,20.0,0.0,0.0,0.3443335062060095,0.0,0.0,0.0,-0.4565107809751122,0.0,250.0,0.0,0.03644376708956409,0.0,0.3588127264184261,,,,,,,,,,,,,,,,,,,,,-20.978784561157227,0.04898298904299736,-22.528091430664062,0.030873335897922516,0.0003,11670,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.270902846402743,100,0.34014540926497916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3438719329191686,0.0,0.00852,0.0,0.033995284003754726,100.0,250.0,0.0,,,,,,,,
0.0,0.0,0.0,0.0,20,0.1444,20.0,0.0,0.0,0.34437038628374866,0.0,0.0,0.0,-2.0173305271477755,0.0,250.0,0.0,0.03753399601134179,0.0,0.3682275522695581,,,,,,,,,,,,,,,,,,,,,-22.327377319335938,0.06459692120552063,-20.01883316040039,0.017036693170666695,0.0003,13754,,
,,,,,,,,,,,,,,,,,,,,0.0,0.0,-1.5832292348036532,100,0.3356558878282773,0.0,0.06,0.0,0.0,0.0,0.02076,0.0,0.35436850800867103,0.0,0.11744,0.04,0.0375265336593721,100.0,250.0,0.0,,,,,,,,
